Unnamed: 0,Vmag,Plx,e_Plx,B-V,SpType,StarType
0,9.1,3.54,1.39,0.482,F5,Unknown
1,9.27,21.9,3.1,0.999,K3V,Dwarf
2,6.61,2.81,0.63,-0.019,B9,Unknown
3,8.06,7.75,0.97,0.37,F0V,Dwarf
4,8.55,2.87,1.11,0.902,G8III,Giant
5,12.31,18.8,4.99,1.336,M0V:,Dwarf
6,9.64,17.74,1.3,0.74,G0,Unknown
7,9.05,5.17,1.95,1.102,M6e-M8.5e Tc,Unknown
8,8.59,4.81,0.99,1.067,G5,Unknown
9,8.59,10.76,1.1,0.489,F6V,Dwarf
10,7.34,4.29,0.84,0.081,A2,Unknown
11,8.43,4.06,1.16,1.484,K4III,Giant
12,8.8,3.49,1.48,1.128,K0III,Giant
13,7.25,5.11,0.99,1.2,K0,Unknown
14,8.6,2.45,1.16,1.166,K2,Unknown
15,8.15,6.15,1.0,0.425,F3V,Dwarf
16,11.71,0.53,2.63,0.421,Unknown,Unknown
17,11.03,19.93,2.36,1.567,K5,Unknown
18,6.53,4.12,0.64,0.955,G5,Unknown
19,8.51,10.76,1.06,0.516,G0,Unknown
20,7.55,5.84,0.95,1.438,K2,Unknown
21,8.69,4.47,1.15,0.962,G8/K0III/IV,Giant
22,7.57,12.21,0.95,0.456,F2V,Dwarf
23,9.05,9.73,1.21,0.528,G0V,Dwarf
24,6.28,13.74,0.98,0.763,G3IV,Giant
25,9.13,9.19,1.34,0.535,F7V,Dwarf
26,9.32,9.66,1.38,0.671,G5V,Dwarf
27,8.83,5.64,1.05,0.468,F3/F5V,Dwarf
28,9.14,2.85,1.4,1.041,G8III,Giant
29,8.26,3.79,0.88,0.142,A0,Unknown
30,7.63,1.84,1.05,1.453,K2,Unknown
31,9.09,3.1,1.29,0.04,B8,Unknown
32,8.1,8.94,1.09,0.466,F2,Unknown
33,6.43,12.71,0.74,0.514,F7.5IV-V,Giant
34,9.07,5.96,1.45,0.916,G8/K0III/IV,Giant
35,7.68,6.3,0.96,1.15,K0,Unknown
36,10.44,3.74,2.72,0.391,F0V,Dwarf
37,8.65,23.84,0.78,0.778,G6V,Dwarf
38,7.46,10.98,1.18,0.475,F3V,Dwarf
39,8.7,3.42,1.04,0.026,A0,Unknown
40,10.61,-3.4,4.25,0.57,B...,Unknown
41,8.2,6.38,0.91,0.387,F2,Unknown
42,6.18,7.63,0.6,1.032,G9III-IV,Giant
43,7.91,2.41,1.01,1.104,K2,Unknown
44,9.59,15.1,1.92,0.612,G6/G8V:,Dwarf
45,8.57,1.19,1.2,1.035,K1III,Giant
46,10.78,24.45,1.97,1.15,K3V,Dwarf
47,7.31,1.86,0.87,1.164,K0/K1III,Giant
48,9.53,1.59,1.28,0.45,F5,Unknown
49,6.49,16.89,0.8,0.616,G1IV,Giant
50,8.94,0.41,1.3,0.906,K0,Unknown
51,8.56,3.95,0.77,0.196,A4V,Dwarf
52,10.96,-1.76,2.45,0.612,Unknown,Unknown
53,10.57,20.97,1.71,1.03,M:,Unknown
54,7.4,14.66,0.98,0.551,G2IV/V,Giant
55,8.12,3.47,1.27,1.329,K0,Unknown
56,8.27,33.89,0.79,0.863,K2V,Dwarf
57,7.05,26.06,0.67,0.52,G0,Unknown
58,9.09,-0.06,1.38,0.091,B5,Unknown
59,8.34,6.18,0.83,0.386,F2IV,Giant
60,8.86,5.6,1.11,1.081,K5,Unknown
61,8.27,5.28,1.15,0.994,G8III,Giant
62,6.36,4.81,0.71,-0.047,B9p SiEu,Unknown
63,8.08,3.45,0.94,1.156,K2III,Giant
64,11.0,16.98,2.43,1.147,Unknown,Unknown
65,8.55,8.18,0.88,0.401,F2V,Dwarf
66,7.83,7.48,0.93,0.495,F5,Unknown
67,8.79,31.8,1.17,0.94,K0,Unknown
68,8.33,6.35,1.12,0.135,A0,Unknown
69,10.42,5.25,13.87,0.706,Unknown,Unknown
70,8.26,9.13,1.84,0.846,G5,Unknown
71,8.97,10.63,1.25,0.671,G3/G5V,Dwarf
72,6.9,3.97,0.69,1.446,K2,Unknown
73,9.93,24.22,1.36,1.068,K5,Unknown
74,7.42,1.6,0.79,1.524,K4III,Giant
75,9.03,2.29,1.19,1.67,M0,Unknown
76,8.41,3.53,1.12,0.022,A0V,Dwarf
77,8.06,1.17,0.96,1.203,K0,Unknown
78,8.69,4.57,0.99,0.529,F5,Unknown
79,8.4,15.59,1.43,0.566,G2V,Dwarf
80,8.57,23.43,1.28,0.642,G5,Unknown
81,9.5,1.82,1.37,1.107,G5,Unknown
82,8.85,2.28,1.3,1.726,M0,Unknown
83,9.61,18.9,1.33,0.852,K0,Unknown
84,10.62,3.9,2.06,0.359,A2,Unknown
85,8.05,3.47,0.78,0.018,B9,Unknown
86,7.8,4.52,1.08,0.43,F5,Unknown
87,5.71,5.97,0.7,0.911,G8III,Giant
88,7.87,2.6,0.96,1.566,K2,Unknown
89,7.64,9.35,0.92,0.5,F5IV/V,Giant
90,7.66,4.21,1.23,1.3,K0,Unknown
91,8.68,4.77,1.44,0.944,G8III,Giant
92,8.12,16.74,1.28,0.619,F8V,Dwarf
93,10.1,10.48,1.48,0.644,G2,Unknown
94,8.67,7.85,1.17,0.513,F5V,Dwarf
95,10.46,19.83,5.16,1.36,M0,Unknown
96,9.87,6.49,1.44,0.551,F6/F7V,Dwarf
97,9.48,5.52,1.74,0.53,F5V,Dwarf
98,7.04,1.27,0.7,2.835,C5p,Unknown
99,8.44,4.49,1.08,0.898,G0,Unknown
100,9.88,7.35,1.74,0.509,F5IV/V,Giant
101,7.05,3.0,0.82,1.55,M1III,Giant
102,8.29,9.15,0.76,0.538,F6V,Dwarf
103,9.34,8.16,1.21,0.543,F7V,Dwarf
104,7.73,4.44,0.75,0.455,F0,Unknown
105,6.22,4.5,0.73,0.97,G7II-III,Giant
106,5.53,5.84,0.61,1.615,M2III,Giant
107,8.53,0.3,0.86,1.315,K3II/III,Giant
108,7.23,5.33,0.94,0.388,F0,Unknown
109,8.61,20.42,1.91,0.787,G5,Unknown
110,11.28,27.11,2.33,1.308,M2,Unknown
111,10.76,31.35,4.17,1.384,M1.5V:,Dwarf
112,8.93,0.27,1.09,0.021,A0,Unknown
113,7.95,9.93,1.95,0.654,G0IV,Giant
114,7.46,4.73,0.67,0.16,A2IV,Giant
115,8.6,8.29,0.97,0.435,F3V,Dwarf
116,8.55,0.36,0.87,1.093,G8III,Giant
117,9.2,12.08,1.33,0.606,G0,Unknown
118,6.82,7.49,0.83,1.071,K0,Unknown
119,8.29,2.83,1.09,1.183,K1IIICNIV,Giant
120,6.83,3.66,0.83,1.197,K2III,Giant
121,4.78,14.77,0.47,1.254,K2III,Giant
122,7.21,5.07,0.7,1.169,K0,Unknown
123,5.58,0.86,0.56,0.407,F0III,Giant
124,8.7,5.08,1.06,0.366,F2V,Dwarf
125,8.06,2.94,0.95,0.969,G5,Unknown
126,10.86,11.27,2.15,0.942,Unknown,Unknown
127,6.5,15.2,0.63,0.182,Am...,Unknown
128,9.32,6.6,1.3,0.559,F8,Unknown
129,9.14,2.93,1.38,1.08,K0III,Giant
130,8.13,8.11,0.83,0.2,A4V,Dwarf
131,10.62,1.89,1.91,0.358,F0,Unknown
132,6.62,3.51,0.79,0.545,F5IV,Giant
133,9.96,1.3,1.71,0.264,A0,Unknown
134,8.64,20.1,1.22,0.62,G5,Unknown
135,6.6,5.84,0.78,1.153,K2III-IV,Giant
136,6.25,2.45,0.69,-0.042,B9IIIp Mn,Giant
137,7.83,6.34,1.89,1.074,K0/K1IV,Giant
138,10.03,1.62,1.45,1.289,B0,Unknown
139,9.04,8.98,0.93,0.546,F7V,Dwarf
140,8.47,5.61,1.1,1.35,K5,Unknown
141,7.33,16.04,0.69,0.73,K0,Unknown
142,8.66,3.57,0.75,1.364,K5,Unknown
143,10.35,20.05,1.64,1.033,K3,Unknown
144,5.13,7.98,0.71,-0.128,B7III-IV,Giant
145,8.96,4.39,1.29,0.306,A9V,Dwarf
146,8.49,-0.13,1.19,1.569,K5,Unknown
147,11.26,22.92,2.17,0.932,K3,Unknown
148,8.15,4.22,0.96,0.584,F8,Unknown
149,7.04,7.5,0.84,1.06,K1III,Giant
150,10.02,5.1,1.42,0.456,F5,Unknown
151,8.9,5.54,1.23,0.459,F8,Unknown
152,7.78,7.56,1.37,0.411,F3IV...,Giant
153,4.37,7.86,0.94,1.631,M3III,Giant
154,9.93,2.28,1.39,0.283,A2,Unknown
155,8.6,3.09,0.84,0.1,B8V,Dwarf
156,8.51,6.87,1.28,0.903,G5,Unknown
157,7.09,7.03,0.89,0.999,K0III,Giant
158,6.93,16.92,0.81,0.292,A3,Unknown
159,8.68,2.07,0.8,-0.052,B9V,Dwarf
160,8.98,2.38,1.09,1.5,K5,Unknown
161,9.84,2.71,1.33,0.696,G0,Unknown
162,8.98,2.92,1.26,0.107,A3V,Dwarf
163,7.98,4.41,0.82,0.97,G9III,Giant
164,10.16,-0.59,1.74,0.45,Ap...,Unknown
165,8.86,9.46,1.18,0.66,G3V,Dwarf
166,8.58,3.5,0.9,0.06,B9,Unknown
167,9.56,1.95,1.34,1.113,R...,Unknown
168,9.24,63.03,1.98,1.39,M0V,Dwarf
169,9.63,5.96,2.02,0.509,F5V,Dwarf
170,5.8,80.63,3.03,0.69,G3V,Dwarf
171,9.05,1.27,1.11,0.976,O7,Unknown
172,8.45,1.31,1.03,0.248,A2,Unknown
173,8.86,3.89,1.83,1.035,G9II-III,Giant
174,7.84,3.98,0.87,0.923,G5,Unknown
175,8.86,3.82,1.07,0.53,K0,Unknown
176,8.93,5.47,1.25,0.172,A1m...,Unknown
177,7.97,9.02,2.5,0.556,F7V,Dwarf
178,6.9,14.91,0.9,0.534,G0V,Dwarf
179,8.47,2.8,1.12,1.171,K0,Unknown
180,6.77,2.51,0.64,1.832,M0,Unknown
181,8.55,3.32,1.16,1.004,K0,Unknown
182,5.04,6.4,0.87,-0.15,B4V,Dwarf
183,8.48,29.75,1.21,0.888,K0,Unknown
184,8.53,11.74,1.8,0.53,F8,Unknown
185,6.33,7.55,0.82,0.182,A6V,Dwarf
186,8.99,6.69,1.38,0.5,G0,Unknown
187,8.64,10.49,1.23,0.488,F5,Unknown
188,9.55,2.49,1.41,0.237,A3,Unknown
189,8.74,10.47,1.17,0.57,G0,Unknown
190,12.43,22.98,4.38,1.49,M3,Unknown
191,8.16,3.31,1.11,1.032,G5,Unknown
192,9.46,4.77,1.47,0.944,G8/K0III,Giant
193,5.7,26.53,0.77,0.315,F0V,Dwarf
194,7.62,8.08,1.0,0.517,F8,Unknown
195,8.95,0.98,1.18,1.677,K5,Unknown
196,8.97,1.62,1.16,0.952,K0,Unknown
197,8.94,5.12,1.11,0.276,A0,Unknown
198,7.24,4.07,0.88,0.074,A0,Unknown
199,10.32,3.17,1.67,0.323,F2,Unknown
200,8.24,10.06,0.99,0.474,F5,Unknown
201,8.62,2.6,1.1,0.303,F0,Unknown
202,9.18,2.16,1.59,0.981,K0III,Giant
203,8.53,2.53,1.0,1.274,K3III,Giant
204,8.54,8.84,1.25,0.384,F2,Unknown
205,8.56,9.32,1.02,0.436,G0,Unknown
206,9.41,2.46,1.07,0.967,G6/G8III,Giant
207,5.87,1.57,1.67,1.073,G8III,Giant
208,7.2,-0.69,9.62,0.085,A2V,Dwarf
209,9.05,7.65,1.93,0.47,G0,Unknown
210,9.52,3.88,1.36,0.832,G8,Unknown
211,10.24,6.18,2.04,0.318,Unknown,Unknown
212,7.7,7.8,0.95,1.003,G5,Unknown
213,8.17,3.36,0.99,0.29,A3,Unknown
214,7.29,2.73,0.63,0.118,A0,Unknown
215,9.26,3.49,0.94,1.8,M2,Unknown
216,7.94,3.21,0.89,0.016,A0,Unknown
217,8.42,4.14,1.05,1.005,G8III,Giant
218,8.56,10.78,1.28,0.602,F8,Unknown
219,7.52,6.27,0.81,0.18,A0,Unknown
220,7.74,7.68,1.11,0.483,F2,Unknown
221,8.85,2.62,1.16,1.113,K1III,Giant
222,9.01,1.25,1.47,1.01,K0,Unknown
223,7.17,21.58,1.65,0.617,G0,Unknown
224,9.04,7.23,1.56,0.489,F3/F5V,Dwarf
225,10.3,0.63,1.67,0.254,F0/F2V,Dwarf
226,9.86,8.72,7.25,0.442,Unknown,Unknown
227,7.64,9.53,0.87,0.532,F8,Unknown
228,8.27,2.16,2.57,0.128,A0,Unknown
229,8.44,8.62,1.31,0.423,F2,Unknown
230,9.58,4.59,1.21,0.5,F6/F7IV,Giant
231,8.43,5.18,1.11,0.007,A0V,Dwarf
232,8.49,2.5,1.03,1.18,K0,Unknown
233,9.64,2.91,1.08,0.31,B8,Unknown
234,9.17,2.6,1.31,1.222,K0,Unknown
235,8.09,2.96,1.08,1.26,K0,Unknown
236,9.0,6.32,1.32,0.903,G8IV,Giant
237,6.25,16.16,0.96,0.526,F6/F7V,Dwarf
238,8.56,4.77,1.27,0.521,F5,Unknown
239,10.81,3.36,2.03,0.565,F8,Unknown
240,8.76,2.37,1.28,1.01,K0,Unknown
241,7.76,7.41,0.93,0.967,G8IV,Giant
242,7.82,4.11,0.8,1.041,K0III,Giant
243,7.9,3.49,0.74,0.668,F8,Unknown
244,8.52,3.31,1.13,1.036,G5,Unknown
245,9.73,18.29,1.56,0.99,K3,Unknown
246,9.19,6.08,1.68,0.346,F0,Unknown
247,8.1,9.03,1.17,0.342,F0,Unknown
248,8.75,13.24,1.03,0.552,F8,Unknown
249,8.14,5.19,1.99,0.88,K0,Unknown
250,8.65,-0.53,1.21,1.349,K2III,Giant
251,10.3,-0.95,2.86,1.082,K0...,Unknown
252,6.46,6.78,0.88,1.176,K1III,Giant
253,6.73,5.96,0.76,0.051,A2,Unknown
254,7.96,11.84,1.16,0.421,F2/F3V,Dwarf
255,9.53,4.73,1.44,0.461,F0,Unknown
256,8.87,3.15,1.18,0.081,A0V,Dwarf
257,6.59,6.28,0.78,1.122,K0,Unknown
258,8.65,0.54,1.23,1.455,M0,Unknown
259,9.64,6.1,1.44,0.432,F2V,Dwarf
260,9.15,8.21,2.41,0.424,F3V,Dwarf
261,9.04,4.31,1.25,0.422,F0V,Dwarf
262,12.04,32.93,3.49,1.473,M1,Unknown
263,8.42,3.69,0.9,1.174,K0,Unknown
264,8.09,3.38,1.13,1.125,K1IIICN...,Giant
265,9.06,1.06,0.94,1.688,K5III:,Giant
266,8.09,11.66,1.42,0.455,F2,Unknown
267,8.18,0.24,1.01,1.462,K5,Unknown
268,8.77,3.82,1.02,1.125,G5,Unknown
269,7.36,4.7,0.63,0.146,A2,Unknown
270,9.16,4.81,1.11,0.232,A2III,Giant
271,8.82,1.39,1.31,0.979,G8/K0III,Giant
272,11.14,1.86,2.09,0.041,A0V,Dwarf
273,6.24,0.93,0.57,0.332,B3Ia,Giant
274,9.44,5.68,4.61,0.439,F3V,Dwarf
275,7.49,15.55,0.95,0.636,G0,Unknown
276,6.96,15.84,0.81,0.353,F2V,Dwarf
277,7.94,2.79,0.95,-0.023,B2IVne+...,Giant
278,8.69,0.81,0.87,0.12,B8V,Dwarf
279,8.15,4.83,0.97,0.134,A2,Unknown
280,8.45,2.88,1.1,1.655,M0,Unknown
281,7.92,1.62,0.97,1.408,K0,Unknown
282,7.45,4.99,0.99,0.353,A5,Unknown
283,9.01,2.11,1.04,0.956,G8III,Giant
284,8.55,1.38,1.06,1.212,K1IV/VCN...,Giant
285,9.23,0.11,0.93,1.006,K0,Unknown
286,9.16,1.19,1.4,1.538,K5,Unknown
287,7.9,5.49,0.97,1.071,K0,Unknown
288,8.68,3.48,1.17,1.011,K0III,Giant
289,7.78,15.26,1.03,0.563,F8/G0V,Dwarf
290,8.21,1.46,1.04,-0.123,Ap...,Unknown
291,8.11,2.92,0.79,-0.019,A0,Unknown
292,8.29,13.14,0.97,0.488,F6V,Dwarf
293,7.89,8.63,1.11,0.401,F0,Unknown
294,9.67,2.83,1.45,0.397,F0V,Dwarf
295,8.24,25.29,1.11,0.78,G8V,Dwarf
296,6.8,6.42,0.75,0.06,A2,Unknown
297,8.18,2.81,1.03,1.015,K0,Unknown
298,8.44,9.67,0.86,0.508,F5V,Dwarf
299,4.55,14.31,0.92,-0.047,B9IVn,Giant
300,7.45,6.04,0.85,0.244,A3,Unknown
301,6.31,3.31,0.6,1.629,M4,Unknown
302,8.15,5.15,0.98,0.316,Am...,Unknown
303,8.27,6.16,1.0,0.136,A2,Unknown
304,7.66,20.44,0.96,0.741,G5IV,Giant
305,8.59,14.36,2.44,0.616,G2V,Dwarf
306,11.55,16.27,2.71,1.26,M0,Unknown
307,7.09,13.9,0.84,0.303,F0,Unknown
308,8.54,4.59,1.04,0.23,A7V,Dwarf
309,9.58,12.24,1.44,0.7,G5V,Dwarf
310,8.44,6.36,0.9,0.456,F0,Unknown
311,8.59,-0.56,0.85,0.36,B0Ibp,Giant
312,8.01,10.62,1.46,0.406,F3/F5V,Dwarf
313,8.29,5.58,1.02,0.54,G0,Unknown
314,9.62,6.67,0.97,0.657,F8V,Dwarf
315,7.26,5.48,1.25,0.355,F0,Unknown
316,7.91,5.53,0.62,0.314,F0III/IV,Giant
317,9.45,2.07,1.37,1.115,G8/K0IV,Giant
318,8.19,1.2,0.84,0.26,O8e,Unknown
319,12.14,6.48,4.13,0.612,F1:,Unknown
320,8.93,9.88,1.18,0.607,G2/G3V,Dwarf
321,7.65,3.93,0.97,0.992,G8IV,Giant
322,8.53,8.18,1.0,0.491,F5,Unknown
323,7.38,6.15,0.89,1.003,K0,Unknown
324,8.56,14.48,1.07,0.615,F8,Unknown
325,8.76,0.82,1.22,1.692,M0,Unknown
326,9.56,2.04,1.28,0.39,A2,Unknown
327,7.09,4.24,0.92,-0.085,B8V,Dwarf
328,9.83,9.2,1.5,0.699,G5,Unknown
329,5.9,0.89,0.58,0.274,A1III,Giant
330,10.8,1.88,2.21,0.882,Gp,Unknown
331,8.41,6.58,0.94,0.563,F6V,Dwarf
332,9.05,5.54,1.44,0.16,A1/A2IV/V,Giant
333,8.79,0.07,0.98,0.08,B0,Unknown
334,8.88,5.57,1.09,0.253,A0,Unknown
335,7.59,1.47,0.77,1.68,K5,Unknown
336,9.6,11.87,1.49,0.75,G5,Unknown
337,10.66,-1.21,1.79,1.45,B,Unknown
338,8.55,4.12,0.84,0.037,A1V,Dwarf
339,8.11,14.91,1.01,0.484,F6V,Dwarf
340,9.44,0.58,1.57,1.069,G8IV,Giant
341,9.6,7.92,1.55,0.549,G0V,Dwarf
342,5.78,11.29,0.92,1.084,K0III,Giant
343,10.66,6.82,2.4,1.5,M5e-M7e,Unknown
344,6.38,7.75,0.91,0.006,A1V,Dwarf
345,8.8,5.27,1.12,1.031,K1III,Giant
346,7.79,2.46,0.85,-0.089,B3V,Dwarf
347,8.6,16.79,1.13,0.64,G5,Unknown
348,7.77,4.1,1.06,-0.058,B8/B9V,Dwarf
349,10.37,21.14,1.62,1.1,Unknown,Unknown
350,9.8,22.52,1.48,0.855,K0V,Dwarf
351,10.42,12.99,1.76,0.8,Unknown,Unknown
352,11.63,5.72,6.2,0.971,Unknown,Unknown
353,9.22,3.01,1.4,1.001,K0,Unknown
354,4.99,2.03,0.93,1.619,K3Ibvar,Giant
355,8.43,9.89,1.1,0.611,G0,Unknown
356,7.33,10.92,0.64,0.444,F2V,Dwarf
357,8.93,0.95,0.79,1.025,G8III,Giant
358,9.09,17.09,0.88,0.639,G3/G5III/IV,Giant
359,9.26,4.67,0.93,1.162,K2,Unknown
360,8.73,3.4,0.93,1.036,K0III,Giant
361,9.18,-0.43,1.49,1.169,K2III,Giant
362,8.12,2.15,1.05,2.53,C5II,Giant
363,9.26,1.99,1.57,1.149,K0III,Giant
364,8.94,1.59,1.32,1.181,K1IV,Giant
365,6.11,1.94,1.12,0.159,B9III,Giant
366,9.13,1.38,0.79,0.239,A2/A3IV,Giant
367,7.9,4.83,1.03,1.249,K2,Unknown
368,9.34,1.26,1.47,0.95,K0,Unknown
369,7.13,2.46,0.81,1.26,K1III,Giant
370,10.82,0.81,2.56,1.021,M5,Unknown
